;СОУН;Объект ФНС России;Тип оборудования;Производитель;Модель;Серийный номер;Сервисный номер 2017;Инвентарный номер;Год выпуска;Гарантия;;
!;7700;УФНС России по Москве;Источник бесперебойного питания (Тип 2);APC;Smart-UPS 5000VA 230VRackmount/Tower;IS1130001761;77000-4-4-155-IS1130001761 ;6401/11-1023000214;2011;01.01.2012;!;!
!;7700;УФНС России по Москве;Источник бесперебойного питания (Тип 2);APC;Smart-UPS 5000VA 230VRackmount/Tower;IS1130001877;77000-4-4-155-IS1130001877;6401/11-1023000087;2011;01.01.2012;!;!
!;7700;УФНС России по Москве;Источник бесперебойного питания (Тип 2);APC;Smart-UPS 5000VA 230VRackmount/Tower;IS1130001878;77000-4-4-155-IS1130001878;6401/11-1023000225;2011;01.01.2012;!;!
!;7700;УФНС России по Москве;Источник бесперебойного питания (Тип 2);APC;Smart-UPS 5000VA 230VRackmount/Tower;IS1130001896;77000-4-4-155-IS1130001896 ;6401/11-1023000209;2011;01.01.2012;!;!
!;7700;УФНС России по Москве;Источник бесперебойного питания (Тип 2);APC;Smart-UPS 5000VA 230VRackmount/Tower;IS1130001898;77000-4-4-155-IS1130001898;6401/11-1023000095;2011;01.01.2012;!;!
!;7700;УФНС России по Москве;Источник бесперебойного питания (Тип 2);APC;Smart-UPS 5000VA 230VRackmount/Tower;IS1130001899;77000-4-4-155-IS1130001899;6401/11-1023000092;2011;01.01.2012;!;!
!;7700;УФНС России по Москве;Источник бесперебойного питания (Тип 2);APC;Smart-UPS 5000VA 230VRackmount/Tower;IS1130001905;77000-4-4-155-IS1130001905 ;6401/11-1023000211;2011;01.01.2012;!;!
!;7700;УФНС России по Москве;Источник бесперебойного питания (Тип 2);APC;Smart-UPS 5000VA 230VRackmount/Tower;IS1130001911;77000-4-4-155-IS1130001911;6401/11-1023000230;2011;01.01.2012;!;!
!;7700;УФНС России по Москве;Источник бесперебойного питания (Тип 2);APC;Smart-UPS 5000VA 230VRackmount/Tower;IS1130001912;77000-4-4-155-IS1130001912 ;6401/11-1023000228;2011;01.01.2012;!;!
!;7700;УФНС России по Москве;Источник бесперебойного питания (Тип 2);APC;Smart-UPS 5000VA 230VRackmount/Tower;IS1130001914;77000-4-4-155-IS1130001914;6401/11-1023000210;2011;01.01.2012;!;!
!;7700;УФНС России по Москве;Источник бесперебойного питания (Тип 2);APC;Smart-UPS 5000VA 230VRackmount/Tower;IS1130001918;77000-4-4-155-IS1130001918;6401/11-1023000086;2011;01.01.2012;!;!
!;7700;УФНС России по Москве;Источник бесперебойного питания (Тип 2);APC;Smart-UPS 5000VA 230VRackmount/Tower;IS1130001919;77000-4-4-155-IS1130001919;6401/11-1023000223;2011;01.01.2012;!;!
!;7700;УФНС России по Москве;Источник бесперебойного питания (Тип 2);APC;Smart-UPS 5000VA 230VRackmount/Tower;IS1130001934;77000-4-4-155-IS1130001934;6401/11-1023000094;2011;01.01.2012;!;!
!;7700;УФНС России по Москве;Источник бесперебойного питания (Тип 2);APC;Smart-UPS 5000VA 230VRackmount/Tower;IS1130001935;77000-4-4-155-IS1130001935 ;6401/11-1023000088;2011;01.01.2012;!;!
!;7700;УФНС России по Москве;Источник бесперебойного питания (Тип 2);APC;Smart-UPS 5000VA 230VRackmount/Tower;IS1130001936;77000-4-4-155-IS1130001936 ;6401/11-1023000224;2011;01.01.2012;!;!
!;7700;УФНС России по Москве;Источник бесперебойного питания (Тип 2);APC;Smart-UPS 5000VA 230VRackmount/Tower;IS1130001941;77000-4-4-155-IS1130001941;6401/11-1023000220;2011;01.01.2012;!;!
!;7700;УФНС России по Москве;Источник бесперебойного питания (Тип 2);APC;Smart-UPS 5000VA 230VRackmount/Tower;IS1130001951;77000-4-4-155-IS1130001951;6401/11-1023000217;2011;01.01.2012;!;!
!;7700;УФНС России по Москве;Источник бесперебойного питания (Тип 2);APC;Smart-UPS 5000VA 230VRackmount/Tower;IS1130001954;77000-4-4-155-IS1130001954;6401/11-1023000093;2011;01.01.2012;!;!
!;7700;УФНС России по Москве;Источник бесперебойного питания (Тип 2);APC;Smart-UPS 5000VA 230VRackmount/Tower;IS1130001955;77000-4-4-155-IS1130001955;6401/11-1023000098;2011;01.01.2012;!;!
!;7700;УФНС России по Москве;Источник бесперебойного питания (Тип 2);APC;Smart-UPS 5000VA 230VRackmount/Tower;IS1130001957;77000-4-4-155-IS1130001957 ;6401/11-1023000222;2011;01.01.2012;!;!
!;7700;УФНС России по Москве;Источник бесперебойного питания (Тип 2);APC;Smart-UPS 5000VA 230VRackmount/Tower;IS1130001958;77000-4-4-155-IS1130001958;6401/11-1023000219;2011;01.01.2012;!;!
!;7700;УФНС России по Москве;Источник бесперебойного питания (Тип 2);APC;Smart-UPS 5000VA 230VRackmount/Tower;IS1130001975;77000-4-4-155-IS1130001975;6401/11-1023000091;2011;01.01.2012;!;!
!;7700;УФНС России по Москве;Источник бесперебойного питания (Тип 2);APC;Smart-UPS 5000VA 230VRackmount/Tower;IS1130001977;77000-4-4-155-IS1130001977;6401/11-1023000097;2011;01.01.2012;!;!
!;7700;УФНС России по Москве;Источник бесперебойного питания (Тип 2);APC;Smart-UPS 5000VA 230VRackmount/Tower;IS1130001984;77000-4-4-155-IS1130001984;6401/11-1023000096;2011;01.01.2012;!;!
!;7700;УФНС России по Москве;Источник бесперебойного питания (Тип 2);APC;Smart-UPS 5000VA 230VRackmount/Tower;IS1132004537;77000-4-4-155-IS1132004537;6401/11-1023000221;2011;01.01.2012;!;!
!;7700;УФНС России по Москве;Источник бесперебойного питания (Тип 2);Eaton;PW9130 3000VA-R;GD052A0460;77000-1-170-GD052A0460 ;10112100060 инв.№ здания;2011;01.12.2014;!;!
!;7700;УФНС России по Москве;Источник бесперебойного питания (Тип 2);Eaton;PW9130 3000VA-R;GD052A0518;77000-2-142-GD052A0518;10112100060 инв.№ здания;2011;01.12.2014;!;!
!;7700;УФНС России по Москве;Источник бесперебойного питания (Тип 2);Eaton;PW9130 3000VA-R;GD052A0461;77000-2-142-GD052A0461;10112100060 инв.№ здания;2011;01.12.2014;!;!
!;7700;УФНС России по Москве;Источник бесперебойного питания (Тип 2);Eaton;PW9130 3000VA-R;GD316A1298;77000-2-026-GD316A1298;10112100060 инв.№ здания;2011;01.12.2014;!;!
!;7700;УФНС России по Москве;Источник бесперебойного питания (Тип 2);Eaton;PW9130 3000VA-R;GD052A0458;77000-2-026-GD052A0458 ;10112100060 инв.№ здания;2011;01.12.2014;!;!
!;7700;УФНС России по Москве;Источник бесперебойного питания (Тип 2);Eaton;PW9130 3000VA-R;GD052A0459;77000-4-155-GD052A0459;10112100060 инв.№ здания;2011;01.12.2014;!;!
!;7700;УФНС России по Москве;Источник бесперебойного питания (Тип 2);Eaton;PW9130 3000VA-R;GD412A0150;77000-4-155-GD412A0150;10112100060 инв.№ здания;2011;01.12.2014;!;!
!;7700;УФНС России по Москве;Источник бесперебойного питания (Тип 2);Eaton;PW9130 3000VA-R;GD052A0462;77000-4-155-GD052A0462;10112100060 инв.№ здания;2011;01.12.2014;!;!
!;7700;УФНС России по Москве;Источник бесперебойного питания (Тип 2);Eaton;PW9130 3000VA-R;GD052A0457;77000-4-155-GD052A0457;10112100060 инв.№ здания;2011;01.12.2014;!;!
!;7700;УФНС России по Москве;Источник бесперебойного питания (Тип 2);Eaton;PW9130 3000VA-R;GD414A0294;77000-4-093-GD414A0294 ;10112100060 инв.№ здания;2011;01.12.2014;!;!
!;7700;УФНС России по Москве;Источник бесперебойного питания (Тип 2);Eaton;PW9130 3000VA-R;GD212A0389;77000-4-093-GD212A0389;10112100060 инв.№ здания;2011;01.12.2014;!;!
!;7700;УФНС России по Москве;Источник бесперебойного питания (Тип 2);Eaton;PW9130 3000VA-R;GD414A0303;77000-4-093-GD414A0303;10112100060 инв.№ здания;2011;01.12.2014;!;!
!;7700;УФНС России по Москве;Источник бесперебойного питания (Тип 2);Eaton;PW9130 3000VA-R;GD412A0174;77000-4-093-GD412A0174;10112100060 инв.№ здания;2011;01.12.2014;!;!
!;7700;УФНС России по Москве;Источник бесперебойного питания (Тип 2);Eaton;PW9130 3000VA-R;GD414A0291;77000-7-065-GD414A0291;10112100060 инв.№ здания;2011;01.12.2014;!;!
!;7700;УФНС России по Москве;Источник бесперебойного питания (Тип 2);Eaton;PW9130 3000VA-R;GD052A0521;77000-7-065-GD052A0521;10112100060 инв.№ здания;2011;01.12.2014;!;!
!;7700;УФНС России по Москве;Источник бесперебойного питания (Тип 2);Eaton;PW9130 3000VA-R;GD414A0306;77000-7-065-GD414A0306;10112100060 инв.№ здания;2011;01.12.2014;!;!
!;7700;УФНС России по Москве;Источник бесперебойного питания (Тип 2);Eaton;PW9130 3000VA-R;GD316A1296;77000-7-065-GD316A1296;10112100060 инв.№ здания;2011;01.12.2014;!;!
!;7700;УФНС России по Москве;Источник бесперебойного питания (Тип 2);Eaton;PW9130 3000VA-R;GD414A0292;77000-7-065-GD414A0292;10112100060 инв.№ здания;2011;01.12.2014;!;!
!;7700;УФНС России по Москве;Источник бесперебойного питания (Тип 2);Eaton;PW9130 3000VA-R;GD052A0522;77000-7-065-GD052A0522;10112100060 инв.№ здания;2011;01.12.2014;!;!
!;7700;УФНС России по Москве;Коммутатор (Тип 2);Hewlett Packard; S5500-28F-EI;CN11B9V0WT;77000-0-00-б/н;10112100060 инв.№ здания;2011;01.12.2014;!;!
!;7700;УФНС России по Москве;Коммутатор (Тип 2);Hewlett Packard; S5500-28F-EI;CN11B9V0WJ;77000-0-00-б/н;10112100060 инв.№ здания;2011;01.12.2014;!;!
!;7700;УФНС России по Москве;Коммутатор (Тип 2);Hewlett Packard; S5500-28F-EI;CN11B9V0WZ;77000-0-00-б/н;10112100060 инв.№ здания;2011;01.12.2014;!;!
!;7700;УФНС России по Москве;Коммутатор (Тип 2);Hewlett Packard; S5500-28F-EI;CN0BB9R017;77000-0-00-б/н;10112100060 инв.№ здания;2011;01.12.2014;!;!
!;7700;УФНС России по Москве;Коммутатор (Тип 2);Hewlett Packard; S5500-28F-EI;CN0BB9R006;77000-0-00-б/н;10112100060 инв.№ здания;2011;01.12.2014;!;!
!;7700;УФНС России по Москве;Коммутатор (Тип 2);Hewlett Packard; S5500-28F-EI;CN11B9V0WV;77000-0-00-б/н;10112100060 инв.№ здания;2011;01.12.2014 0:00;!;!
!;7700;УФНС России по Москве;Коммутатор (Тип 2);Cisco;Catalist WS-C3560G-24TS-S;FOC1140Y01T;77000-4-155-FOC1140Y01T;101040201065;2007;27.12.2013;!;!
!;7700;УФНС России по Москве;Коммутатор (Тип 3);Cisco;Catalyst 3750(WS-C3750G-48TS-S);FCZ154620K5;77000-0-00-FCZ154620K5 ;101040201051;2011;01.01.2016;!;!
!;7700;УФНС России по Москве;Коммутатор (Тип 3);Cisco;Catalyst 3750(WS-C3750G-48TS-S);FCZ154620JL;77000-0-00-FCZ154620JL  ;З/Б;2011;01.01.2016;!;!
!;7700;УФНС России по Москве;Коммутатор (Тип 3);Cisco;Catalyst 3750(WS-C3750G-48TS-S);FCZ154620KО;77000-0-00-FCZ154620KО ;З/Б;2011;01.01.2016;!;!
!;7700;УФНС России по Москве;Коммутатор (Тип 3);Cisco;Catalyst 3750(WS-C3750G-48TS-S);FCZ154620JQ;77000-0-00-FCZ154620JQ ;З/Б;2011;01.01.2016;!;!
