;СОУН;Объект ФНС России;Тип оборудования;Производитель;Модель;Серийный номер;Сервисный номер 2017;Инвентарный номер;Год выпуска;Гарантия;;
!;7708;ИФНС России №8 по Москве;Рабочая станция (Тип 2);LightCom;LiqhtCom Basic Bas4600H110As263;L2105180293;б/н;З/сч. 41        As263139;2018;01.01.2020;!;!
!;7708;ИФНС России №8 по Москве;Рабочая станция (Тип 2);LightCom;LiqhtCom Basic Bas4600H110As263;L2105180294;б/н;З/сч. 41        As263140;2018;01.01.2020;!;!
!;7708;ИФНС России №8 по Москве;Рабочая станция (Тип 2);LightCom;LiqhtCom Basic Bas4600H110As263;L2105180295;б/н;З/сч. 41        As263141;2018;01.01.2020;!;!
!;7708;ИФНС России №8 по Москве;Рабочая станция (Тип 2);LightCom;LiqhtCom Basic Bas4600H110As263;L2105180296;б/н;З/сч. 41        As263142;2018;01.01.2020;!;!
!;7708;ИФНС России №8 по Москве;Рабочая станция (Тип 2);LightCom;LiqhtCom Basic Bas4600H110As263;L2105180297;б/н;З/сч. 41        As263143;2018;01.01.2020;!;!
!;7708;ИФНС России №8 по Москве;Рабочая станция (Тип 2);LightCom;LiqhtCom Basic Bas4600H110As263;L2105180298;б/н;З/сч. 41        As263144;2018;01.01.2020;!;!
!;7708;ИФНС России №8 по Москве;Рабочая станция (Тип 2);LightCom;LiqhtCom Basic Bas4600H110As263;L2105180299;б/н;З/сч. 41        As263145;2018;01.01.2020;!;!
!;7708;ИФНС России №8 по Москве;Рабочая станция (Тип 2);LightCom;LiqhtCom Basic Bas4600H110As263;L2105180300;б/н;З/сч. 41        As263146;2018;01.01.2020;!;!
!;7708;ИФНС России №8 по Москве;Рабочая станция (Тип 2);LightCom;LiqhtCom Basic Bas4600H110As263;L2105180301;б/н;З/сч. 41        As263147;2018;01.01.2020;!;!
!;7708;ИФНС России №8 по Москве;Рабочая станция (Тип 2);LightCom;LiqhtCom Basic Bas4600H110As263;L2105180302;б/н;З/сч. 41        As263148;2018;01.01.2020;!;!
!;7708;ИФНС России №8 по Москве;Сканер планшетный формата А4;Hewlett Packard;HP ScanJet Pro 2500 f1 ;CN825A101D;б/н;З/сч. 41      Pro 2500169;2012;31.12.2016;!;!
!;7708;ИФНС России №8 по Москве;Сканер планшетный формата А4;Hewlett Packard;HP ScanJet Pro 2500 f1 ;CN825A1017;б/н;З/сч. 41      Pro 2500170;2012;31.12.2016;!;!
!;7708;ИФНС России №8 по Москве;Сканер планшетный формата А4;Hewlett Packard;HP ScanJet Pro 2500 f1;CN825A1014;б/н;З/сч. 41      Pro 2500171;2012;31.12.2016;!;!
!;7708;ИФНС России №8 по Москве;Сканер планшетный формата А4;Hewlett Packard;HP ScanJet Pro 2500 f1;CN825A10KJ;б/н;З/сч. 41      Pro 2500172;2012;31.12.2016;!;!
!;7708;ИФНС России №8 по Москве;Сканер планшетный формата А4;Hewlett Packard;HP ScanJet Pro 2500 f1;CN825A1068;б/н;З/сч. 41      Pro 2500173;2012;31.12.2016;!;!
!;7708;ИФНС России №8 по Москве;Сканер планшетный формата А4;Hewlett Packard;HP ScanJet Pro 2500 f1;CN825A10M4;б/н;З/сч. 41      Pro 2500174;2012;31.12.2016;!;!
!;7708;ИФНС России №8 по Москве;Сканер планшетный формата А4;Hewlett Packard;HP ScanJet Pro 2500 f1;CN825A10M1;б/н;З/сч. 41      Pro 2500175;2012;31.12.2016;!;!
!;7708;ИФНС России №8 по Москве;Сканер планшетный формата А4;Hewlett Packard;HP ScanJet Pro 2500 f1;CN825A1024;б/н;З/сч. 41      Pro 2500176;2012;31.12.2016;!;!
!;7708;ИФНС России №8 по Москве;Сканер планшетный формата А4;Hewlett Packard;HP ScanJet Pro 2500 f1;CN825A101G;б/н;З/сч. 41      Pro 2500177;2012;31.12.2016;!;!
!;7708;ИФНС России №8 по Москве;Сканер планшетный формата А4;Hewlett Packard;HP ScanJet Pro 2500 f1;CN825A10JR;б/н;З/сч. 41      Pro 2500178;2012;31.12.2016;!;!
!;7708;ИФНС России №8 по Москве;Сканер с автоматической подачей А4;Hewlett Packard;HP ScanJet Pro 3500 f1;CN57JB609B;б/н;З/сч. 41      Скан3500F12304;2012;31.12.2016;!;!
!;7708;ИФНС России №8 по Москве;Сканер с автоматической подачей А4;Hewlett Packard;HP ScanJet Pro 3500 f1;CN57JB6096;б/н;З/сч. 41      Скан3500F12305;2012;31.12.2016;!;!
!;7708;ИФНС России №8 по Москве;Сканер с автоматической подачей А4;Hewlett Packard;HP ScanJet Pro 3500 f1;CN57JB6094;б/н;З/сч. 41      Скан3500F12306;2012;31.12.2016;!;!
!;7708;ИФНС России №8 по Москве;Сканер с автоматической подачей А4;Hewlett Packard;HP ScanJet Pro 3500 f1;CN57JB609P;б/н;З/сч. 41      Скан3500F12307;2012;31.12.2016;!;!
!;7708;ИФНС России №8 по Москве;Сканер с автоматической подачей А4;Xerox;Xerox DocuMate 3220 ;74MDHI0173;б/н;110134261359;2012;31.12.2016;!;!
!;7708;ИФНС России №8 по Москве;Сканер с автоматической подачей А4;Xerox;Xerox DocuMate 3220 ;74MDHI0139;б/н;110134261360;2012;31.12.2016;!;!
!;7708;ИФНС России №8 по Москве;Коммутатор (Тип 1);D-link;D-link DGS-1100-08 (DGS-1100-08/A1A) ;QBLZ1D000028;б/н;З/сч.21         DGS-1100277;2011;01.01.2014;!;!
!;7708;ИФНС России №8 по Москве;Коммутатор (Тип 1);D-link;D-link DGS-1100-08 (DGS-1100-08/A1A) ;QBLZ1D000029;б/н;З/сч.21         DGS-1100278;2011;01.01.2014;!;!
!;7708;ИФНС России №8 по Москве;Коммутатор (Тип 1);D-link;D-link DGS-1100-08 (DGS-1100-08/A1A) ;QBLZ1D000030;б/н;З/сч.21         DGS-1100279;2011;01.01.2014;!;!
!;7708;ИФНС России №8 по Москве;Коммутатор (Тип 1);D-link;D-link DGS-1100-08 (DGS-1100-08/A1A) ;QBLZ1D000026;б/н;З/сч.21         DGS-1100280;2011;01.01.2014;!;!
!;7708;ИФНС России №8 по Москве;Коммутатор (Тип 1);D-link;D-link DGS-1100-08 (DGS-1100-08/A1A) ;QBLZ1D000027;б/н;З/сч.21         DGS-1100281;2011;01.01.2014;!;!
!;7708;ИФНС России №8 по Москве;Коммутатор (Тип 1);D-link;D-link DGS-1100-08 (DGS-1100-08/A1A) ;QBLZ1D000022;б/н;З/сч.21         DGS-1100282;2011;01.01.2014;!;!
!;7708;ИФНС России №8 по Москве;Коммутатор (Тип 1);D-link;D-link DGS-1100-08 (DGS-1100-08/A1A) ;QBLZ1D000021;б/н;З/сч.21         DGS-1100283;2011;01.01.2014;!;!
!;7708;ИФНС России №8 по Москве;Коммутатор (Тип 1);D-link;D-link DGS-1100-08 (DGS-1100-08/A1A) ;QBLZ1D000023;б/н;З/сч.21         DGS-1100284;2011;01.01.2014;!;!
!;7708;ИФНС России №8 по Москве;Коммутатор (Тип 1);D-link;D-link DGS-1100-08 (DGS-1100-08/A1A) ;QBLZ1D000024;б/н;З/сч.21         DGS-1100285;2011;01.01.2014;!;!
!;7708;ИФНС России №8 по Москве;Коммутатор (Тип 1);D-link;D-link DGS-1100-08 (DGS-1100-08/A1A) ;QBLZ1D000025;б/н;З/сч.21         DGS-1100286;2011;01.01.2014;!;!
!;7708;ИФНС России №8 по Москве;Сервер (Тип 3);Hewlett Packard;ProLiant DL580R04;GB8746227R;б/н;110134261371;2008;01.01.2007;!;!
!;7708;ИФНС России №8 по Москве;Сервер (Тип 3);Hewlett Packard;ProLiant DL580R05;GB8746226R;б/н;110134261370;2008;01.01.2007;!;!
!;7708;ИФНС России №8 по Москве;Коммутатор (Тип 2);Hewlett Packard;ProCurve  Switch 2810-24G;CN736XIOFN;б/н;на учете не состоит;2008;10.01.2011;!;!
!;7708;ИФНС России №8 по Москве;Сервер (Тип 2); DEPO ;Storm 1310S1;310235007;б/н;6.1059;2012;01.01.2015;!;!
!;7708;ИФНС России №8 по Москве;Сервер (Тип 2);Depo;Storm 3451RU;457307-024;б/н;110134261501;2015;01.01.2020;!;!
!;7709;д.о. ИФНС России №9 по г. Москве;KVM-консоль;ATEN;CL1016M-AT-RG;R8DA002C50002;77013-1-113-R8DA002C50002;41-0230;2013;11.01.2016;!;!
!;7709;д.о. ИФНС России №9 по г. Москве;KVM-консоль;ATEN;CL1016M-AT-RG;Z8D9010C50022;77013-1-113-Z8D9010C50022;41-0231;2013;11.01.2016;!;!
!;7709;д.о. ИФНС России №9 по г. Москве;Внешний дисковый массив (Тип 2);IBM;System Storage DS4200;133505P;77013-1-113-133505P;500001;2006;01.01.2010;!;!
!;7709;д.о. ИФНС России №9 по г. Москве;Внешний дисковый массив (Тип 2);IBM;System Storage DS3400;1S1726HC4130737T;77013-1-113-1S1726HC4130737T;5;2006;31.12.2010;!;!
!;7709;д.о. ИФНС России №9 по г. Москве;Внешний дисковый массив (Тип 2);Hewlett Packard;StorageWorks P2000 G3;2S6333D182;77013-1-113-2S6333D182;41-0068;2013;11.01.2016;!;!
!;7709;ИФНС России №9 по г. Москве;Внешний дисковый массив (Тип 2);IBM;System Storage N3400;1332348;77013-1-113-1332348;41-0303;2011;01.12.2014;!;!
!;7709;д.о. ИФНС России №9 по г. Москве;Источник бесперебойного питания (Тип 1);APC;Smart-UPS 1500;ASO138321585;77013-1-113-ASO138321585;4908;2005;01.01.2008;!;!
!;7709;д.о. ИФНС России №9 по г. Москве;Источник бесперебойного питания (Тип 1);APC;Smart-UPS 1500;ASO738321615;77013-1-113-ASO738321615;4909;2004;01.01.2007;!;!
!;7709;д.о. ИФНС России №9 по г. Москве;Источник бесперебойного питания (Тип 1);APC;BR550GI;3B1122X46849;77013-1-135-3B1122X46849;5146;2011;01.01.2014;!;!
!;7709;д.о. ИФНС России №9 по г. Москве;Источник бесперебойного питания (Тип 1);APC;BR550GI;3B1122X46852;77013-2-213-3B1122X46852;5147;2011;01.01.2014;!;!
!;7709;д.о. ИФНС России №9 по г. Москве;Источник бесперебойного питания (Тип 1);APC;BR550GI;3B1122X44454;77013-1-113-3B1122X44454;5148;2011;01.01.2014;!;!
!;7709;д.о. ИФНС России №9 по г. Москве;Источник бесперебойного питания (Тип 1);APC;BR550GI;3B1122X44460;77013-1-160-3B1122X44460;5149;2011;01.01.2014;!;!
!;7709;ИФНС России №9 по г. Москве;Источник бесперебойного питания (Тип 1);APC;BR900GI;3B1137291067;77014-2-223-3B1137291067;41-0234;2012;01.01.2015;!;!
!;7709;д.о. ИФНС России №9 по г. Москве;Источник бесперебойного питания (Тип 2);APC;Smart-UPS RT 3000;QS0611221492;77013-1-113-QS0611221492;16;2012;01.01.2015;!;!
!;7709;д.о. ИФНС России №9 по г. Москве;Источник бесперебойного питания (Тип 2);APC;Smart-UPS 5000;IS1132004078;77013-1-113-IS1132004078;41-0237;2012;01.01.2015;!;!
!;7709;д.о. ИФНС России №9 по г. Москве;Источник бесперебойного питания (Тип 2);APC;Smart-UPS 5000;IS1130001909;77013-1-113-IS1130001909;41-0236;2012;01.01.2015;!;!
!;7709;д.о. ИФНС России №9 по г. Москве;Источник бесперебойного питания (Тип 2);APC;Smart-UPS 5000;IS1132004090;77013-1-113-IS1132004090;41-0235;2012;01.01.2015;!;!
!;7709;ИФНС России №9 по г. Москве;Источник бесперебойного питания (Тип 2);APC;Smart-UPS 5000;SAS1850153375;77014-2-223-SAS1850153375;41-0015;2019;01.04.2021;!;!
!;7709;д.о. ИФНС России №9 по г. Москве;Коммутатор (Тип 1);D-link;DGS-1100-08;QBLZ1D9000382;77013-2-223-QBLZ1D9000382;з21-1503;2013;01.01.2014;!;!
!;7709;д.о. ИФНС России №9 по г. Москве;Коммутатор (Тип 1);D-link;DGS-1100-08;QBLZ1D9000381;77013-1-113-QBLZ1D9000381;з21-1504;2013;01.01.2014;!;!
!;7709;д.о. ИФНС России №9 по г. Москве;Коммутатор (Тип 1);D-link;DGS-1100-08;QBLZ1D0000049;77013-1-113-QBLZ1D9000049;з21-1505;2013;01.01.2014;!;!
!;7709;д.о. ИФНС России №9 по г. Москве;Коммутатор (Тип 1);D-link;DGS-1100-08;QBLZ1D9000048;77013-3-305-QBLZ1D9000048;з21-1506;2013;01.01.2014;!;!
!;7709;д.о. ИФНС России №9 по г. Москве;Коммутатор (Тип 1);D-link;DGS-1100-08;QBLZ1D9000388;77013-3-305-QBLZ1D9000388;з21-1507;2013;01.01.2014;!;!
!;7709;ИФНС России №9 по г. Москве;Коммутатор (Тип 1);D-link;DGS-1100-08;QBLZ1D9000387;77013-3-315-QBLZ1D9000387;з21-1508;2013;01.01.2014;!;!
!;7709;д.о. ИФНС России №9 по г. Москве;Коммутатор (Тип 1);D-link;DGS-1100-08;QBLZ1D9000386;77013-2-231-QBLZ1D9000386;з21-1509;2013;01.01.2014;!;!
!;7709;ИФНС России №9 по г. Москве;Коммутатор (Тип 1);D-link;DGS-1100-08;QBLZ1D9000389;77013-2-234-QBLZ1D9000389;з21-1510;2013;01.01.2014;!;!
!;7709;д.о. ИФНС России №9 по г. Москве;Коммутатор (Тип 1);D-link;DGS-1100-08;QBLZ1D0000390;77013-3-305-QBLZ1D9000390;з21-1511;2013;01.01.2014;!;!
!;7709;д.о. ИФНС России №9 по г. Москве;Коммутатор (Тип 1);D-link;DGS-1100-08;QBLZ1D9000385;77013-3-305-QBLZ1D9000385;з21-1512;2013;01.01.2014;!;!
!;7709;ИФНС России №9 по г. Москве;Коммутатор (Тип 1);D-link;DGS-1100-08;QBLZ1D9000384;77013-1-113-QBLZ1D9000384;з21-1513;2013;01.01.2014;!;!
!;7709;д.о. ИФНС России №9 по г. Москве;Коммутатор (Тип 1);D-link;DGS-1100-08;QBLZ1D9000383;77013-3-305-QBLZ1D9000383;з21-1514;2013;01.01.2014;!;!
!;7709;д.о. ИФНС России №9 по г. Москве;Коммутатор (Тип 2);Cisco;WS-C3750-24TS-S;CAT0939Z0SU;77013-1-113-FDO114640GJ;888;2005;31.12.2007;!;!
!;7709;д.о. ИФНС России №9 по г. Москве;Коммутатор (Тип 2);Cisco;WS-C3750-24TS-S;CAT0939Z0S3;77013-3-315-CAT0939ZOS3;889;2005;31.12.2007;!;!
!;7709;д.о. ИФНС России №9 по г. Москве;Коммутатор (Тип 2);Cisco;WS-C3750G-24TS-S;FDO1634X16A;77013-1-113-FDO1634X16A;5164;2012;01.01.2015;!;!
!;7709;д.о. ИФНС России №9 по г. Москве;Коммутатор (Тип 2);Cisco;WS-C2960S-24TS-S;FCQ1735X0DX;77013-2-223-FCQ1735X0DX;5387;2013;01.01.2018;!;!
!;7709;д.о. ИФНС России №9 по г. Москве;Коммутатор (Тип 2);Cisco;WS-C3750G-24TS-S;FDO1142Y0PR;77013-1-113-FDO1142Y0PR;5480;2009;01.01.2007;!;!
!;7709;ИФНС России №9 по г. Москве;Коммутатор (Тип 2);Cisco;WS-C2960RX-24TS-L;JTV23471071;77014-2-223-JTV23471071;41-0422;2019;31.12.2020;!;!
!;7709;ИФНС России №9 по г. Москве;Коммутатор (Тип 2);Cisco;WS-C2960RX-24TS-L;JTV2347107H;77014-2-223JTV2347107H;41-0423;2019;31.12.2020;!;!
!;7709;д.о. ИФНС России №9 по г. Москве;Коммутатор (Тип 3);Cisco;WS-C3750G-24TS-S;FDO1146YOHA;77013-2-231-FOC1142YOHA;5481;2005;01.01.2007;!;!
!;7709;д.о. ИФНС России №9 по г. Москве;Коммутатор (Тип 3);Cisco;WS-C3750-48TS-S;CAT0939R04T;77013-1-160-CAT0939R045;884;2004;31.12.2007;!;!
!;7709;д.о. ИФНС России №9 по г. Москве;Коммутатор (Тип 3);Cisco;WS-C3750-48TS-S;CAT0939Z0TU;77013-2-231-CAT0939Z0TU;885;2005;31.12.2007;!;!
!;7709;д.о. ИФНС России №9 по г. Москве;Коммутатор (Тип 3);Cisco;WS-C3750-48TS-S;CAT0939Z0WS;77013-2-231-CAT0939Z0WS;886;2004;31.12.2007;!;!
!;7709;д.о. ИФНС России №9 по г. Москве;Коммутатор (Тип 3);Cisco;WS-C3750-48TS-S;CAT0939Z0V3;77013-2-231-CAT093920V3;887;2005;31.12.2007;!;!
!;7709;д.о. ИФНС России №9 по г. Москве;Коммутатор (Тип 3);Cisco;WS-C3750-48TS-S;FDO1146Y0GJ;77013-1-113-FDO1146Y0GJ;5482;2005;01.01.2007;!;!
!;7709;ИФНС России №9 по г. Москве;Коммутатор (Тип 3);Cisco;WS-C2960RX-48TS-L;JTV23471092;77014-2-223-JTV23471092;41-0424;2019;31.12.2020;!;!
!;7709;ИФНС России №9 по г. Москве;Коммутатор (Тип 3);Cisco;WS-C2960RX-48TS-L;JTV2347108D;77014-2-223-JTV2347108D;41-0425;2019;31.12.2020;!;!
!;7709;ИФНС России №9 по г. Москве;Коммутатор (Тип 3);Cisco;WS-C2960RX-48TS-L;JTV2347108W;77014-2-223-JTV2347108W;41-0426;2019;31.12.2020;!;!
!;7709;д.о. ИФНС России №9 по г. Москве;Рабочая станция (Тип 0);Aquarius;Elt E50 S62;211227870105-0002;77013-3-305-2111227870105-0002;41-0306;2011;01.01.2016;!;!
!;7709;д.о. ИФНС России №9 по г. Москве;Рабочая станция (Тип 0);Aquarius;Elt E50 S62;211227870105-0003;77013-1-135-2111227870105-0003;41-0314;2011;01.01.2016;!;!
!;7709;д.о. ИФНС России №9 по г. Москве;Рабочая станция (Тип 0);Aquarius;Elt E50 S62;211227870105-0004;77013-3-305-2111227870105-0004;41-0316;2011;01.01.2016;!;!
!;7709;д.о. ИФНС России №9 по г. Москве;Рабочая станция (Тип 0);Aquarius;Elt E50 S62;211227870105-0005;77013-3-303-2111227870105-0005;41-0313;2011;01.01.2016;!;!
!;7709;д.о. ИФНС России №9 по г. Москве;Рабочая станция (Тип 0);Aquarius;Elt E50 S62;211227870105-0006;77013-1-135-2111227870105-0006;41-0310;2011;01.01.2016;!;!
!;7709;д.о. ИФНС России №9 по г. Москве;Рабочая станция (Тип 0);Aquarius;Elt E50 S62;211227870105-0007;77013-3-316-2111227870105-0007;41-0315;2011;01.01.2016;!;!
!;7709;д.о. ИФНС России №9 по г. Москве;Рабочая станция (Тип 0);Aquarius;Elt E50 S62;211227870105-0010;77013-3-316-2111227870105-0010;41-0307;2011;01.01.2016;!;!
!;7709;д.о. ИФНС России №9 по г. Москве;Рабочая станция (Тип 0);Aquarius;Elt E50 S62;211227870105-0012;77013-3-316-2111227870105-0012;41-0309;2011;01.01.2016;!;!
!;7709;д.о. ИФНС России №9 по г. Москве;Рабочая станция (Тип 0);Aquarius;Elt E50 S62;211227870105-0013;77013-1-135-2111227870105-0013;41-0305;2011;01.01.2016;!;!
!;7709;д.о. ИФНС России №9 по г. Москве;Рабочая станция (Тип 0);Aquarius;Elt E50 S62;211227870105-0014;77013-1-135-2111227870105-0014;41-0304;2011;01.01.2016;!;!
!;7709;д.о. ИФНС России №9 по г. Москве;Рабочая станция (Тип 0);Aquarius;Elt E50 S62;211227870105-0015;77013-3-306-2111227870105-0015;41-0312;2011;01.01.2016;!;!
!;7709;д.о. ИФНС России №9 по г. Москве;Рабочая станция (Тип 0);Aquarius;Elt E50 S62;211227870105-0016;77013-1-135-2111227870105-0016;41-0311;2011;01.01.2016;!;!
!;7709;ИФНС России №9 по г. Москве;Рабочая станция (Тип 0);Aquarius;Elt E50 S62;211227870105-0017;77013-3-316-2111227870105-0017;41-0308;2011;01.01.2016;!;!
!;7709;д.о. ИФНС России №9 по г. Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4PL12;77013-1-139-PB4ML12;5175;2013;03.07.2018;!;!
!;7709;ИФНС России №9 по г. Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4MP25;77013-5-523-PB4MP25;5176;2013;03.07.2018;!;!
!;7709;ИФНС России №9 по г. Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4MP64;77013-5-520-PB4MP64;5177;2013;03.07.2018;!;!
!;7709;ИФНС России №9 по г. Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4PL13;77013-3-316-PB4PL13;5178;2013;03.07.2018;!;!
!;7709;ИФНС России №9 по г. Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4PL82;77013-3-312-PB4MP82;5179;2013;03.07.2018;!;!
!;7709;ИФНС России №9 по г. Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4LY39;77013-2-210-PB4LY39;5180;2013;03.07.2018;!;!
!;7709;ИФНС России №9 по г. Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4MZ99;77013-5-510-PB4MZ99;5181;2013;03.07.2018;!;!
!;7709;ИФНС России №9 по г. Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4NA25;77013-5-510-PB4NA25;5182;2013;03.07.2018;!;!
!;7709;ИФНС России №9 по г. Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4MZ83;77013-4-429-PB4MZ83;5183;2013;03.07.2018;!;!
!;7709;ИФНС России №9 по г. Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4MP60;77013-4-429-PB4MP60;5184;2013;03.07.2018;!;!
!;7709;ИФНС России №9 по г. Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4MP94;77013-5-525-PB4MP94;5185;2013;03.07.2018;!;!
!;7709;ИФНС России №9 по г. Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4NM51;77013-3-313-PB4NM51;5186;2013;03.07.2018;!;!
!;7709;ИФНС России №9 по г. Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4MZ89;77013-2-214-PB4MZ89;5187;2013;03.07.2018;!;!
!;7709;ИФНС России №9 по г. Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4RB39;77013-2-210-PB4RB39;5188;2013;03.07.2018;!;!
!;7709;ИФНС России №9 по г. Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4MZ80;77013-5-523-PB4MZ80;5192;2013;03.07.2018;!;!
!;7709;ИФНС России №9 по г. Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4PL05;77013-2-210-PB4PL05;5193;2013;03.07.2018;!;!
!;7709;ИФНС России №9 по г. Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4NM91;77013-4-424-PB4NM91;5194;2013;03.07.2018;!;!
!;7709;ИФНС России №9 по г. Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4PL07;77013-4-426-PB4PL07;5195;2013;03.07.2018;!;!
!;7709;ИФНС России №9 по г. Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4NM90;77013-4-429-PB4NM90;5196;2013;03.07.2018;!;!
!;7709;д.о. ИФНС России №9 по г. Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4MZ68;77013-1-139-PB4MZ68;5197;2013;03.07.2018;!;!
!;7709;ИФНС России №9 по г. Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4MP90;77013-2-203-PB4MP90;5199;2013;03.07.2018;!;!
!;7709;д.о. ИФНС России №9 по г. Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4NM86;77013-1-131-PB4NM86;5200;2013;03.07.2018;!;!
!;7709;ИФНС России №9 по г. Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4NN04;77013-3-314-PB4NN04;5205;2013;03.07.2018;!;!
!;7709;ИФНС России №9 по г. Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4NM88;77013-3-314-PB4NM88;5208;2013;03.07.2018;!;!
!;7709;ИФНС России №9 по г. Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4PL10;77013-3-306-PB4PL10;5212;2013;03.07.2018;!;!
!;7709;ИФНС России №9 по г. Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4MZ70;77013-3-306-PB4MZ70;5213;2013;03.07.2018;!;!
!;7709;ИФНС России №9 по г. Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4NN08;77013-5-524-PB4NN08;5214;2013;03.07.2018;!;!
!;7709;ИФНС России №9 по г. Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4NM94;77013-5-510-PB4NM94;5215;2013;03.07.2018;!;!
!;7709;д.о. ИФНС России №9 по г. Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4PL19;77013-2-223-PB4PL19;5216;2013;03.07.2018;!;!
!;7709;д.о. ИФНС России №9 по г. Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4PL79;77013-2-223-PB4PL79;5217;2013;03.07.2018;!;!
!;7709;д.о. ИФНС России №9 по г. Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4NA51;77013-2-223-PB4NA51;5218;2013;03.07.2018;!;!
!;7709;д.о. ИФНС России №9 по г. Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4MZ81;77013-2-223-PB4MZ81;5219;2013;03.07.2018;!;!
!;7709;д.о. ИФНС России №9 по г. Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB1AA57;77013-2-226-PB1AA57;5220;2013;03.07.2018;!;!
!;7709;д.о. ИФНС России №9 по г. Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4NM85;77013-2-226-PB4NM85;5221;2013;03.07.2018;!;!
!;7709;д.о. ИФНС России №9 по г. Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4NN02;77013-2-243-PB4NN02;5222;2013;03.07.2018;!;!
!;7709;ИФНС России №9 по г. Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4PL11;77013-2-210-PB4PL11;5223;2013;03.07.2018;!;!
!;7709;д.о. ИФНС России №9 по г. Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4PL17;77013-2-243-PB4PL17;5224;2013;03.07.2018;!;!
!;7709;ИФНС России №9 по г. Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4NA12;77013-5-524-PB4NA12;5225;2013;03.07.2018;!;!
!;7709;д.о. ИФНС России №9 по г. Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4MP93;77013-2-223-PB4MP93;5228;2013;03.07.2018;!;!
!;7709;д.о. ИФНС России №9 по г. Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4MP59;77013-2-223-PB4MP59;5229;2013;03.07.2018;!;!
!;7709;д.о. ИФНС России №9 по г. Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4PO29;77013-2-223-PB4PO29;5230;2013;03.07.2018;!;!
!;7709;д.о. ИФНС России №9 по г. Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4MZ71;77013-1-122-PB4MZ71;5231;2013;03.07.2018;!;!
!;7709;ИФНС России №9 по г. Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4MP65;77013-1-122-PB4MP65;5232;2013;03.07.2018;!;!
!;7709;ИФНС России №9 по г. Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4ME44;77013-1-122-PB4ME44;5233;2013;03.07.2018;!;!
!;7709;д.о. ИФНС России №9 по г. Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4MR01;77013-2-242-PB4MR01;5234;2013;03.07.2018;!;!
